#Seconds PMCAoutFlux PMCAleakFlux
0 0 0
1e-05 0 0
2e-05 0 0
3e-05 0 0
4e-05 0 0
5e-05 1 0
6e-05 2 0
7e-05 2 0
8e-05 2 0
9e-05 2 0
0.0001 3 1
0.00011 3 1
0.00012 3 1
0.00013 3 2
0.00014 3 2
0.00015 3 2
0.00016 3 2
0.00017 3 2
0.00018 4 2
0.00019 4 2
0.0002 4 2
0.00021 4 2
0.00022 4 2
0.00023 5 2
0.00024 5 2
0.00025 5 2
0.00026 5 2
0.00027 5 2
0.00028 5 3
0.00029 5 4
0.0003 5 4
0.00031 5 5
0.00032 5 5
0.00033 7 5
0.00034 7 5
0.00035 7 5
0.00036 7 5
0.00037 7 5
0.00038 7 5
0.00039 7 5
0.0004 7 5
0.00041 7 5
0.00042 7 5
0.00043 7 5
0.00044 7 5
0.00045 7 6
0.00046 7 6
0.00047 8 6
0.00048 8 6
0.00049 8 6
0.0005 8 7
0.00051 8 7
0.00052 8 7
0.00053 8 7
0.00054 8 7
0.00055 8 7
0.00056 8 7
0.00057 8 7
0.00058 8 8
0.00059 8 9
0.0006 8 9
0.00061 8 9
0.00062 8 9
0.00063 9 9
0.00064 9 9
0.00065 9 10
0.00066 9 10
0.00067 9 10
0.00068 10 10
0.00069 10 10
0.0007 10 10
0.00071 10 10
0.00072 10 10
0.00073 11 10
0.00074 11 10
0.00075 11 10
0.00076 11 10
0.00077 11 10
0.00078 11 10
0.00079 11 10
0.0008 11 10
0.00081 11 11
0.00082 11 11
0.00083 11 11
0.00084 12 11
0.00085 13 11
0.00086 13 11
0.00087 13 11
0.00088 13 11
0.00089 13 11
0.0009 13 12
0.00091 13 12
0.00092 13 12
0.00093 13 12
0.00094 13 12
0.00095 14 12
0.00096 14 12
0.00097 14 12
0.00098 14 13
0.00099 14 13
0.001 14 14
0.00101 14 14
0.00102 14 15
0.00103 14 15
0.00104 15 15
0.00105 15 16
0.00106 15 16
0.00107 16 16
0.00108 17 16
0.00109 17 16
0.0011 17 17
0.00111 17 17
0.00112 17 17
0.00113 17 17
0.00114 17 17
0.00115 17 17
0.00116 17 18
0.00117 17 18
0.00118 17 18
0.00119 17 18
0.0012 17 18
0.00121 17 18
0.00122 17 18
0.00123 17 18
0.00124 17 19
0.00125 17 19
0.00126 18 19
0.00127 18 19
0.00128 19 19
0.00129 19 19
0.0013 19 19
0.00131 20 19
0.00132 20 19
0.00133 20 20
0.00134 20 20
0.00135 20 20
0.00136 20 20
0.00137 20 20
0.00138 20 20
0.00139 22 20
0.0014 22 21
0.00141 23 22
0.00142 24 23
0.00143 24 23
0.00144 24 23
0.00145 25 24
0.00146 25 24
0.00147 26 24
0.00148 28 24
0.00149 29 24
0.0015 29 24
0.00151 29 24
0.00152 29 24
0.00153 30 24
0.00154 30 24
0.00155 30 24
0.00156 30 24
0.00157 30 25
0.00158 31 25
0.00159 31 26
0.0016 31 26
0.00161 31 26
0.00162 31 26
0.00163 31 26
0.00164 31 27
0.00165 31 27
0.00166 32 27
0.00167 32 27
0.00168 33 27
0.00169 33 27
0.0017 33 27
0.00171 33 27
0.00172 33 27
0.00173 33 27
0.00174 34 27
0.00175 34 27
0.00176 34 27
0.00177 34 27
0.00178 34 27
0.00179 34 27
0.0018 34 27
0.00181 34 28
0.00182 34 28
0.00183 34 28
0.00184 35 28
0.00185 35 28
0.00186 35 28
0.00187 35 28
0.00188 35 28
0.00189 35 28
0.0019 35 28
0.00191 35 28
0.00192 35 28
0.00193 35 28
0.00194 35 28
0.00195 35 28
0.00196 35 28
0.00197 35 28
0.00198 36 28
0.00199 37 28
0.002 37 28
0.00201 38 28
0.00202 39 29
0.00203 41 29
0.00204 41 29
0.00205 42 30
0.00206 43 30
0.00207 43 30
0.00208 43 30
0.00209 43 30
0.0021 43 30
0.00211 43 30
0.00212 43 31
0.00213 43 31
0.00214 43 31
0.00215 43 31
0.00216 43 31
0.00217 43 31
0.00218 43 31
0.00219 43 32
0.0022 43 32
0.00221 43 32
0.00222 43 33
0.00223 43 33
0.00224 44 33
0.00225 45 33
0.00226 45 34
0.00227 47 35
0.00228 47 35
0.00229 48 35
0.0023 50 35
0.00231 50 35
0.00232 50 35
0.00233 50 35
0.00234 51 35
0.00235 52 35
0.00236 52 35
0.00237 52 35
0.00238 52 35
0.00239 52 35
0.0024 52 35
0.00241 52 36
0.00242 53 36
0.00243 54 36
0.00244 54 36
0.00245 54 37
0.00246 54 37
0.00247 57 37
0.00248 59 37
0.00249 59 37
0.0025 60 37
0.00251 61 37
0.00252 64 37
0.00253 65 37
0.00254 66 38
0.00255 68 39
0.00256 69 40
0.00257 70 40
0.00258 72 40
0.00259 73 40
0.0026 74 40
0.00261 76 40
0.00262 77 41
0.00263 78 41
0.00264 81 41
0.00265 82 42
0.00266 83 42
0.00267 86 42
0.00268 89 42
0.00269 91 42
0.0027 93 42
0.00271 94 42
