#Seconds h0m0 h0m1 h0m2 h1m0 h1m1 h1m2 h2m0 h2m1 h2m2
0 14127 3426 209 5952 1444 90 635 156 9
1e-05 14127 3426 209 5953 1443 90 635 156 9
2e-05 14127 3427 209 5953 1442 90 635 156 9
3e-05 14131 3423 209 5952 1443 90 635 156 9
4e-05 14132 3421 210 5952 1444 89 635 156 9
5e-05 14131 3422 210 5952 1445 89 634 156 9
6e-05 14132 3421 210 5951 1446 89 634 156 9
7e-05 14136 3417 210 5950 1447 89 634 156 9
8e-05 14137 3415 210 5950 1448 89 634 156 9
9e-05 14137 3416 209 5951 1447 89 634 156 9
0.0001 14139 3414 209 5952 1446 89 633 157 9
0.00011 14137 3415 209 5953 1446 89 633 157 9
0.00012 14140 3413 209 5953 1445 89 633 157 9
0.00013 14139 3414 209 5953 1445 89 633 157 9
0.00014 14138 3415 209 5954 1444 89 633 157 9
0.00015 14142 3411 209 5953 1443 90 634 157 9
0.00016 14144 3410 208 5956 1440 90 634 157 9
0.00017 14142 3412 208 5956 1440 90 634 157 9
0.00018 14140 3415 208 5956 1438 91 634 157 9
0.00019 14140 3416 207 5956 1438 91 634 157 9
0.0002 14143 3413 207 5957 1437 91 634 157 9
0.00021 14144 3413 206 5956 1438 91 634 157 9
0.00022 14143 3414 207 5955 1438 91 634 157 9
0.00023 14144 3413 207 5955 1438 91 634 157 9
0.00024 14145 3412 207 5954 1439 91 634 157 9
0.00025 14144 3413 207 5954 1439 91 634 157 9
0.00026 14140 3416 207 5956 1438 91 634 157 9
0.00027 14139 3419 205 5956 1438 91 633 158 9
0.00028 14138 3420 205 5956 1438 91 632 159 9
0.00029 14139 3419 205 5955 1439 91 632 159 9
0.0003 14138 3420 205 5955 1439 91 632 159 9
0.00031 14135 3422 206 5955 1439 91 631 160 9
0.00032 14136 3421 206 5955 1439 91 631 160 9
0.00033 14136 3422 206 5956 1437 91 631 160 9
0.00034 14133 3425 206 5956 1437 91 631 160 9
0.00035 14133 3425 205 5957 1437 91 631 160 9
0.00036 14133 3425 205 5957 1437 91 631 160 9
0.00037 14132 3425 206 5957 1437 91 631 160 9
0.00038 14130 3427 206 5957 1437 91 631 160 9
0.00039 14131 3426 206 5957 1436 92 631 160 9
0.0004 14131 3427 205 5957 1436 92 632 159 9
0.00041 14130 3428 205 5957 1436 92 632 159 9
0.00042 14129 3428 205 5957 1437 92 631 160 9
0.00043 14130 3427 205 5956 1438 92 630 161 9
0.00044 14131 3426 205 5956 1438 92 630 161 9
0.00045 14128 3428 205 5958 1437 92 630 161 9
0.00046 14128 3428 205 5959 1436 92 630 161 9
0.00047 14129 3427 205 5959 1436 92 630 161 9
0.00048 14130 3426 205 5959 1436 92 630 161 9
0.00049 14130 3426 205 5960 1434 93 630 161 9
0.0005 14131 3425 205 5960 1434 93 630 161 9
0.00051 14131 3424 205 5961 1434 93 629 162 9
0.00052 14130 3425 205 5963 1432 93 628 163 9
0.00053 14134 3422 205 5964 1429 94 628 163 9
0.00054 14137 3419 205 5963 1430 94 628 163 9
0.00055 14140 3416 205 5965 1429 94 628 162 9
0.00056 14138 3418 205 5966 1428 94 629 161 9
0.00057 14134 3421 205 5964 1431 94 629 161 9
0.00058 14134 3422 204 5965 1430 94 629 161 9
0.00059 14134 3423 204 5962 1432 93 630 161 9
0.0006 14132 3423 206 5962 1432 93 630 161 9
0.00061 14132 3422 207 5963 1431 93 630 161 9
0.00062 14130 3422 208 5963 1432 93 629 162 9
0.00063 14132 3419 209 5963 1432 93 629 162 9
0.00064 14130 3422 208 5962 1433 93 629 162 9
0.00065 14129 3421 209 5963 1433 93 629 162 9
0.00066 14129 3421 209 5963 1433 93 629 162 9
0.00067 14129 3420 209 5966 1431 93 629 162 9
0.00068 14128 3421 209 5966 1431 93 629 162 9
0.00069 14127 3423 208 5967 1430 93 629 162 9
0.0007 14124 3426 208 5967 1430 93 629 162 9
0.00071 14129 3423 207 5966 1430 93 629 162 9
0.00072 14127 3424 207 5971 1427 93 628 162 9
0.00073 14126 3425 207 5971 1426 94 628 162 9
0.00074 14127 3424 207 5970 1427 94 628 162 9
0.00075 14128 3422 208 5968 1429 94 628 162 9
0.00076 14127 3423 208 5969 1428 94 628 162 9
0.00077 14122 3429 206 5970 1428 94 628 162 9
0.00078 14122 3430 206 5969 1428 94 628 162 9
0.00079 14125 3428 206 5967 1429 94 628 162 9
0.0008 14123 3430 206 5969 1428 94 627 162 9
0.00081 14122 3431 206 5969 1428 94 628 161 9
0.00082 14121 3432 206 5969 1428 94 628 161 9
0.00083 14120 3433 207 5967 1429 94 627 162 9
0.00084 14119 3434 207 5967 1430 94 627 161 9
0.00085 14120 3434 207 5965 1431 94 627 161 9
0.00086 14120 3433 207 5964 1433 94 628 160 9
0.00087 14118 3435 207 5966 1431 94 629 159 9
0.00088 14120 3433 207 5966 1431 94 629 159 9
0.00089 14122 3430 208 5966 1431 94 629 159 9
0.0009 14125 3429 207 5965 1431 94 629 159 9
0.00091 14127 3427 208 5963 1432 94 629 158 10
0.00092 14129 3424 208 5963 1433 94 629 158 10
0.00093 14128 3425 208 5963 1433 94 629 158 10
0.00094 14127 3427 208 5960 1434 95 629 158 10
0.00095 14129 3425 208 5964 1430 95 629 158 10
0.00096 14127 3427 208 5966 1427 96 629 158 10
0.00097 14129 3426 207 5966 1427 96 629 158 10
0.00098 14129 3425 207 5965 1428 97 629 158 10
0.00099 14128 3426 207 5965 1428 97 629 158 10
0.001 14130 3424 207 5965 1427 97 629 159 10
0.00101 14126 3426 207 5966 1428 97 629 159 10
0.00102 14126 3427 207 5966 1427 97 629 159 10
0.00103 14127 3426 207 5968 1425 97 629 159 10
0.00104 14127 3426 207 5969 1425 97 628 159 10
0.00105 14124 3428 207 5970 1425 97 628 159 10
0.00106 14124 3428 207 5970 1424 97 628 160 10
0.00107 14126 3426 207 5970 1424 97 628 160 10
0.00108 14130 3423 206 5970 1424 97 628 160 10
0.00109 14128 3423 208 5971 1423 97 628 160 10
0.0011 14128 3422 209 5968 1426 97 628 160 10
0.00111 14127 3420 209 5970 1427 97 628 160 10
0.00112 14126 3422 209 5969 1427 97 628 160 10
0.00113 14125 3423 209 5969 1427 97 628 160 10
0.00114 14125 3423 209 5971 1425 97 628 160 10
0.00115 14123 3425 209 5973 1423 97 628 160 10
0.00116 14123 3427 209 5971 1423 97 628 160 10
0.00117 14121 3429 209 5972 1423 96 628 160 10
0.00118 14122 3428 209 5974 1421 96 628 160 10
0.00119 14122 3427 209 5974 1422 96 628 160 10
0.0012 14120 3428 210 5975 1421 96 628 160 10
0.00121 14119 3429 210 5974 1421 96 629 160 10
0.00122 14120 3428 210 5973 1422 96 629 160 10
0.00123 14121 3426 211 5972 1423 96 629 160 10
0.00124 14118 3428 212 5972 1424 96 629 159 10
0.00125 14119 3428 212 5971 1424 96 629 159 10
0.00126 14118 3429 212 5972 1424 96 628 159 10
0.00127 14119 3427 213 5972 1425 95 628 159 10
0.00128 14121 3425 213 5971 1426 95 628 159 10
0.00129 14123 3423 213 5972 1425 95 628 159 10
0.0013 14127 3420 213 5970 1426 95 628 159 10
0.00131 14127 3420 213 5970 1426 95 628 159 10
0.00132 14128 3420 212 5970 1426 95 627 160 10
0.00133 14129 3421 211 5967 1428 95 627 160 10
0.00134 14133 3418 211 5966 1427 96 627 160 10
0.00135 14132 3419 211 5965 1428 96 627 160 10
0.00136 14131 3421 211 5965 1427 96 627 160 10
0.00137 14132 3420 211 5965 1427 96 627 160 10
0.00138 14131 3420 211 5966 1427 96 627 160 10
0.00139 14129 3423 211 5965 1427 96 627 160 10
0.0014 14129 3423 211 5966 1426 96 627 160 10
0.00141 14128 3424 211 5966 1426 96 627 160 10
0.00142 14124 3428 211 5967 1425 96 627 160 10
0.00143 14122 3429 212 5967 1425 96 627 160 10
0.00144 14120 3431 212 5969 1422 97 627 160 10
0.00145 14120 3431 212 5968 1422 98 627 160 10
0.00146 14117 3434 211 5969 1422 98 627 160 10
0.00147 14116 3434 211 5968 1424 98 627 160 10
0.00148 14112 3438 210 5970 1423 98 627 160 10
0.00149 14113 3437 210 5969 1424 98 627 160 10
0.0015 14112 3438 210 5968 1425 98 627 160 10
0.00151 14113 3439 210 5967 1424 98 627 160 10
0.00152 14114 3437 211 5967 1424 98 627 160 10
0.00153 14115 3435 212 5966 1425 98 627 160 10
0.00154 14115 3435 213 5966 1424 98 627 160 10
0.00155 14114 3436 213 5966 1424 98 627 160 10
0.00156 14116 3436 212 5965 1424 98 627 160 10
0.00157 14116 3439 211 5963 1424 98 627 160 10
0.00158 14117 3437 212 5964 1422 98 628 160 10
0.00159 14117 3437 212 5966 1420 98 628 160 10
0.0016 14117 3437 212 5967 1419 98 628 160 10
0.00161 14118 3436 212 5967 1419 98 628 160 10
0.00162 14118 3437 211 5968 1419 97 627 161 10
0.00163 14118 3438 211 5968 1418 97 627 161 10
0.00164 14119 3437 211 5970 1416 97 627 161 10
0.00165 14118 3438 211 5970 1416 97 627 161 10
0.00166 14116 3440 211 5973 1413 97 627 161 10
0.00167 14114 3444 211 5971 1413 97 627 161 10
0.00168 14114 3442 213 5972 1412 97 627 161 10
0.00169 14116 3441 213 5971 1412 97 627 161 10
0.0017 14118 3439 213 5973 1410 97 627 161 10
0.00171 14118 3440 213 5972 1410 97 627 161 10
0.00172 14121 3438 211 5973 1409 98 627 161 10
0.00173 14124 3437 209 5972 1411 97 627 161 10
0.00174 14121 3440 209 5971 1412 97 627 161 10
0.00175 14120 3440 209 5972 1412 97 627 160 11
0.00176 14118 3441 210 5972 1412 97 627 160 11
0.00177 14118 3441 210 5972 1412 97 627 160 11
0.00178 14117 3442 210 5972 1413 96 626 161 11
0.00179 14116 3441 211 5973 1413 96 626 161 11
0.0018 14115 3441 212 5973 1413 96 626 161 11
0.00181 14114 3442 212 5974 1413 95 626 161 11
0.00182 14113 3443 212 5973 1414 95 626 161 11
0.00183 14112 3443 213 5974 1413 95 626 161 11
0.00184 14108 3447 213 5975 1412 95 626 161 11
