#Seconds Ca.Conc.az Ca.Pre
0 0 58
1e-05 0 57
2e-05 0 59
3e-05 0 58
4e-05 0 60
5e-05 0 61
6e-05 0 59
7e-05 0 56
8e-05 0 56
9e-05 0 58
0.0001 0 58
0.00011 0 54
0.00012 0 55
0.00013 0 54
0.00014 0 56
0.00015 0 58
0.00016 0 63
0.00017 0 60
0.00018 0 60
0.00019 0 59
0.0002 0 55
0.00021 0 54
0.00022 0 55
0.00023 0 54
0.00024 0 50
0.00025 0 49
0.00026 0 48
0.00027 0 50
0.00028 0 54
0.00029 0 54
0.0003 0 51
0.00031 0 52
0.00032 0 54
0.00033 0 53
0.00034 0 52
0.00035 0 57
0.00036 0 51
0.00037 0 49
0.00038 0 49
0.00039 0 53
0.0004 0.519221867 53
0.00041 0.506557919 54
0.00042 0.494497016 51
0.00043 0.482997086 56
0.00044 0.472019879 56
0.00045 0.461530548 57
0.00046 0.451497276 57
0.00047 0.441890951 59
0.00048 0.432684889 60
0.00049 0.423854585 59
0.0005 0.415377494 60
0.00051 0.407232837 64
0.00052 0.399401436 65
0.00053 0.39186556 65
0.00054 0.38460879 64
0.00055 0.377615903 64
0.00056 0.370872762 64
0.00057 0.364366222 62
0.00058 0.358084046 63
0.00059 0.352014825 64
0.0006 0.346147911 63
0.00061 0.340473355 64
0.00062 0.33498185 63
0.00063 0.329664677 61
0.00064 0.324513667 63
0.00065 0.319521149 63
0.00066 0.314679919 61
0.00067 0.309983204 65
0.00068 0.305424628 65
0.00069 0.300998184 67
0.0007 0.29669821 68
0.00071 0.292519362 67
0.00072 0.288456593 63
0.00073 0.284505133 63
0.00074 0.280660469 65
0.00075 0.276918329 65
0.00076 0.273274667 66
0.00077 0.269725645 69
0.00078 0.266267624 69
0.00079 0.262897148 67
0.0008 0.259610933 65
0.00081 0.25640586 65
0.00082 0.253278959 66
0.00083 0.250227406 65
0.00084 0.247248508 62
0.00085 0.244339702 56
0.00086 0.241498543 58
0.00087 0.238722697 58
0.00088 0.23600994 58
0.00089 0.233358142 58
0.0009 0.230765274 61
0.00091 0.228229392 62
0.00092 0.225748638 60
0.00093 0.223321233 60
0.00094 0.220945475 61
0.00095 0.218619733 60
0.00096 0.216342445 59
0.00097 0.21411211 58
0.00098 0.211927293 59
0.00099 0.209786613 57
0.001 0.207688747 60
0.00101 0.205632423 60
0.00102 0.203616418 63
0.00103 0.20163956 63
0.00104 0.199700718 61
0.00105 0.197798806 57
0.00106 0.19593278 57
0.00107 0.194101632 58
0.00108 0.192304395 58
0.00109 0.190540135 58
0.0011 0.188807952 59
0.00111 0.187106979 60
0.00112 0.185436381 61
0.00113 0.183795351 62
0.00114 0.182183111 57
0.00115 0.18059891 59
0.00116 0.179042023 61
0.00117 0.177511749 57
0.00118 0.176007413 54
0.00119 0.174528359 56
0.0012 0.173073956 55
0.00121 0.171643592 57
0.00122 0.170236678 55
0.00123 0.16885264 53
0.00124 0.167490925 56
0.00125 0.166150997 55
0.00126 0.164832339 55
0.00127 0.163534446 59
0.00128 0.162256833 63
0.00129 0.160999029 66
0.0013 0.159760574 69
0.00131 0.158541028 69
0.00132 0.15733996 66
0.00133 0.156156952 63
0.00134 0.154991602 63
0.00135 0.153843516 64
0.00136 0.152712314 65
0.00137 0.151597625 62
0.00138 0.150499092 65
0.00139 0.149416365 65
0.0014 0.148349105 62
0.00141 0.147296984 61
0.00142 0.146259681 62
0.00143 0.145236886 64
0.00144 0.144228296 70
0.00145 0.143233618 70
0.00146 0.142252566 68
0.00147 0.141284862 67
0.00148 0.140330234 66
0.00149 0.139388421 66
0.0015 0.138459165 63
0.00151 0.137542216 60
0.00152 0.136637333 59
0.00153 0.135744279 61
0.00154 0.134862823 60
0.00155 0.13399274 62
0.00156 0.133133812 59
0.00157 0.132285826 54
0.00158 0.131448574 56
0.00159 0.130621853 58
0.0016 0.129805467 56
0.00161 0.128999222 61
0.00162 0.12820293 60
0.00163 0.127416409 55
0.00164 0.12663948 53
0.00165 0.125871968 53
0.00166 0.125113703 54
0.00167 0.124364519 51
0.00168 0.123624254 56
0.00169 0.12289275 57
0.0017 0.122169851 58
0.00171 0.121455407 57
0.00172 0.120749271 61
0.00173 0.120051299 61
0.00174 0.119361349 64
0.00175 0.118679284 60
0.00176 0.11800497 60
0.00177 0.117338275 65
0.00178 0.116679071 63
0.00179 0.116027233 66
0.0018 0.115382637 63
0.00181 0.114745164 64
0.00182 0.114114696 65
0.00183 0.113491118 67
0.00184 0.112874319 66
0.00185 0.112264187 69
0.00186 0.111660617 69
0.00187 0.111063501 70
0.00188 0.110472738 65
0.00189 0.109888226 67
0.0019 0.109309867 65
0.00191 0.108737564 66
0.00192 0.108171222 65
0.00193 0.10761075 66
0.00194 0.107056055 65
0.00195 0.10650705 65
0.00196 0.105963646 66
0.00197 0.10542576 66
0.00198 0.104893306 65
0.00199 0.104366204 64
0.002 0.103844373 66
0.00201 0.103327735 71
0.00202 0.102816211 71
0.00203 0.102309727 73
0.00204 0.101808209 69
0.00205 0.101311584 75
0.00206 0.10081978 74
0.00207 0.100332728 75
0.00208 0.099850359 73
0.00209 0.0993726061 78
0.0021 0.0988994032 75
0.00211 0.0984306857 77
0.00212 0.09796639 86
0.00213 0.0975064539 90
0.00214 0.0970508162 94
0.00215 0.0965994171 101
0.00216 0.0961521976 102
0.00217 0.0957090999 103
0.00218 0.0952700673 106
0.00219 0.0948350442 108
0.0022 0.0944039758 107
0.00221 0.0939768085 114
0.00222 0.0935534895 117
0.00223 0.0931339672 129
0.00224 0.0927181905 136
0.00225 0.0923061097 147
0.00226 0.0918976756 149
0.00227 0.09149284 148
0.00228 0.0910915556 153
0.00229 0.0906937759 159
0.0023 0.0902994551 160
0.00231 0.0899085484 167
0.00232 0.0895210115 175
0.00233 0.0891368012 178
0.00234 0.0887558747 188
0.00235 0.0883781901 190
0.00236 0.0880037063 193
0.00237 0.0876323826 198
0.00238 0.145440299 193
0.00239 0.144831762 200
0.0024 0.173073956 217
0.00241 0.172355806 228
0.00242 0.171643592 231
0.00243 0.17093724 237
